order_id,product_id,quantity,unit_price,total_price
1,373,2,259.22,518.44
1,208,2,342.64,685.28
1,101,3,38.7,116.10000000000001
1,1,3,107.54,322.62
2,202,2,174.67,349.34
2,398,1,182.45,182.45
2,184,3,119.59,358.77
2,159,1,287.61,287.61
2,154,1,371.7,371.7
3,228,2,469.49,938.98
3,226,1,285.61,285.61
4,131,3,286.17,858.51
4,48,3,113.06,339.18
4,46,1,51.28,51.28
5,481,3,209.3,627.9000000000001
5,257,2,287.88,575.76
5,352,2,23.31,46.62
5,258,3,440.33,1320.99
6,252,1,333.44,333.44
6,101,1,38.7,38.7
6,102,3,196.78,590.34
6,379,3,222.7,668.0999999999999
6,400,3,297.67,893.01
7,42,3,38.5,115.5
7,169,2,466.19,932.38
7,371,1,319.89,319.89
7,482,1,479.46,479.46
8,122,2,65.23,130.46
8,65,3,318.4,955.1999999999999
8,426,2,438.33,876.66
8,356,2,346.58,693.16
8,138,3,93.72,281.15999999999997
9,302,3,343.67,1031.01
10,138,2,93.72,187.44
10,106,2,422.11,844.22
10,184,2,119.59,239.18
10,339,2,327.73,655.46
11,209,1,195.24,195.24
12,376,2,120.28,240.56
12,468,2,24.15,48.3
12,279,2,273.72,547.44
12,289,1,427.58,427.58
12,158,2,269.42,538.84
13,305,2,80.66,161.32
14,396,3,69.93,209.79000000000002
15,384,1,9.03,9.03
15,232,1,478.28,478.28
15,371,1,319.89,319.89
15,251,1,208.81,208.81
16,87,3,367.59,1102.77
16,10,2,421.91,843.82
16,434,3,379.85,1139.5500000000002
17,439,3,201.62,604.86
17,278,1,178.94,178.94
17,254,2,218.23,436.46
17,74,2,83.84,167.68
18,310,3,78.93,236.79000000000002
18,108,2,189.13,378.26
18,383,1,114.97,114.97
18,341,1,469.56,469.56
18,460,3,382.54,1147.6200000000001
19,289,2,427.58,855.16
19,98,2,375.73,751.46
20,212,1,381.28,381.28
20,94,2,186.09,372.18
20,37,2,183.06,366.12
21,347,2,186.64,373.28
21,440,2,362.37,724.74
21,95,1,452.34,452.34
22,119,2,120.42,240.84
23,150,1,216.59,216.59
23,292,1,335.18,335.18
23,316,3,68.22,204.66
23,492,1,28.24,28.24
23,179,2,422.57,845.14
24,228,3,469.49,1408.47
24,256,2,344.07,688.14
24,383,1,114.97,114.97
25,267,2,347.18,694.36
25,499,3,139.95,419.84999999999997
25,500,1,236.72,236.72
25,75,3,123.97,371.90999999999997
25,202,2,174.67,349.34
26,479,1,131.06,131.06
26,107,2,262.2,524.4
27,34,3,150.14,450.41999999999996
27,433,1,457.16,457.16
28,138,3,93.72,281.15999999999997
28,337,2,226.35,452.7
28,122,2,65.23,130.46
29,333,3,61.26,183.78
29,4,3,15.4,46.2
29,154,2,371.7,743.4
29,170,3,432.62,1297.8600000000001
30,365,3,373.53,1120.59
30,241,1,463.38,463.38
30,355,3,344.54,1033.6200000000001
30,10,3,421.91,1265.73
30,218,3,213.29,639.87
31,6,3,23.99,71.97
32,96,3,95.56,286.68
32,121,1,143.28,143.28
32,217,2,80.51,161.02
32,193,2,271.29,542.58
33,410,1,227.81,227.81
33,13,2,41.35,82.7
34,33,3,199.18,597.54
34,216,2,256.85,513.7
34,358,1,198.63,198.63
35,206,3,353.54,1060.6200000000001
35,272,1,182.96,182.96
35,106,1,422.11,422.11
35,241,2,463.38,926.76
35,250,3,179.65,538.95
36,423,2,317.55,635.1
36,227,1,413.65,413.65
37,346,1,206.81,206.81
37,214,2,460.83,921.66
37,38,3,437.95,1313.85
37,482,1,479.46,479.46
37,407,2,474.34,948.68
38,271,2,188.99,377.98
39,7,2,479.78,959.56
39,397,2,154.37,308.74
40,295,1,366.04,366.04
40,280,2,346.03,692.06
40,489,2,229.25,458.5
40,94,3,186.09,558.27
40,25,2,206.03,412.06
41,416,2,163.35,326.7
41,141,3,257.07,771.21
41,244,2,286.63,573.26
42,327,2,357.39,714.78
42,100,3,175.13,525.39
43,225,3,14.73,44.19
44,421,2,450.64,901.28
44,156,3,404.58,1213.74
44,154,3,371.7,1115.1
44,476,3,121.13,363.39
44,71,1,43.24,43.24
45,349,2,54.63,109.26
45,469,2,351.84,703.68
45,435,1,219.72,219.72
45,11,2,415.63,831.26
46,284,2,322.24,644.48
46,407,1,474.34,474.34
46,253,1,399.66,399.66
46,7,1,479.78,479.78
46,493,1,435.98,435.98
47,156,1,404.58,404.58
48,45,2,442.81,885.62
48,224,1,133.14,133.14
