product_id,name,category,price,weight_kg
1,Product_1,Electronics,107.54,3.5
2,Product_2,Beauty,139.66,2.92
3,Product_3,Home,458.68,6.34
4,Product_4,Beauty,15.4,1.65
5,Product_5,Beauty,132.04,2.84
6,Product_6,Electronics,23.99,9.34
7,Product_7,Clothing,479.78,3.97
8,Product_8,Electronics,236.88,3.02
9,Product_9,Clothing,331.01,6.2
10,Product_10,Electronics,421.91,5.04
11,Product_11,Beauty,415.63,1.21
12,Product_12,Beauty,291.6,6.18
13,Product_13,Grocery,41.35,1.54
14,Product_14,Home,127.52,8.63
15,Product_15,Clothing,190.65,4.02
16,Product_16,Home,191.38,7.96
17,Product_17,Home,430.34,9.28
18,Product_18,Beauty,395.52,8.84
19,Product_19,Beauty,343.63,2.88
20,Product_20,Home,446.93,0.91
21,Product_21,Grocery,348.11,8.04
22,Product_22,Home,491.32,2.69
23,Product_23,Grocery,124.25,4.86
24,Product_24,Clothing,497.43,7.5
25,Product_25,Grocery,206.03,5.76
26,Product_26,Beauty,170.87,9.44
27,Product_27,Grocery,432.61,5.94
28,Product_28,Grocery,72.62,7.15
29,Product_29,Grocery,362.83,0.59
30,Product_30,Beauty,243.42,8.85
31,Product_31,Grocery,384.06,2.57
32,Product_32,Clothing,284.06,3.6
33,Product_33,Clothing,199.18,3.73
34,Product_34,Clothing,150.14,9.48
35,Product_35,Beauty,14.23,8.02
36,Product_36,Grocery,325.79,3.2
37,Product_37,Home,183.06,6.77
38,Product_38,Beauty,437.95,5.2
39,Product_39,Home,105.83,5.34
40,Product_40,Beauty,290.43,6.94
41,Product_41,Beauty,314.77,0.29
42,Product_42,Grocery,38.5,8.95
43,Product_43,Clothing,84.75,9.58
44,Product_44,Electronics,437.15,1.06
45,Product_45,Grocery,442.81,8.41
46,Product_46,Grocery,51.28,1.82
47,Product_47,Electronics,140.75,8.54
48,Product_48,Beauty,113.06,9.79
49,Product_49,Clothing,486.05,8.68
50,Product_50,Home,347.73,9.73
51,Product_51,Grocery,124.89,9.13
52,Product_52,Home,207.19,4.59
53,Product_53,Electronics,440.06,9.44
54,Product_54,Beauty,393.16,0.9
55,Product_55,Beauty,243.64,0.11
56,Product_56,Beauty,258.91,0.13
57,Product_57,Electronics,281.31,6.48
58,Product_58,Electronics,462.1,7.88
59,Product_59,Grocery,471.15,5.63
60,Product_60,Electronics,407.73,0.54
61,Product_61,Clothing,118.22,6.52
62,Product_62,Beauty,403.84,5.5
63,Product_63,Grocery,270.0,6.37
64,Product_64,Home,330.1,6.84
65,Product_65,Clothing,318.4,8.94
66,Product_66,Grocery,113.14,2.93
67,Product_67,Electronics,439.97,3.35
68,Product_68,Home,5.86,7.09
69,Product_69,Beauty,494.8,5.16
70,Product_70,Clothing,420.8,3.27
71,Product_71,Grocery,43.24,6.13
72,Product_72,Grocery,455.9,0.45
73,Product_73,Grocery,279.0,5.78
74,Product_74,Beauty,83.84,3.11
75,Product_75,Beauty,123.97,9.8
76,Product_76,Electronics,476.31,2.43
77,Product_77,Beauty,254.31,3.71
78,Product_78,Beauty,164.41,6.58
79,Product_79,Clothing,102.92,3.65
80,Product_80,Electronics,296.1,5.91
81,Product_81,Beauty,112.52,9.97
82,Product_82,Home,479.76,6.53
83,Product_83,Beauty,243.84,2.81
84,Product_84,Home,239.85,7.67
85,Product_85,Electronics,173.78,3.84
86,Product_86,Beauty,409.34,1.83
87,Product_87,Grocery,367.59,7.61
88,Product_88,Electronics,361.93,2.48
89,Product_89,Electronics,437.32,7.74
90,Product_90,Clothing,171.02,4.79
91,Product_91,Electronics,440.33,2.09
92,Product_92,Clothing,86.51,7.94
93,Product_93,Grocery,325.85,1.6
94,Product_94,Clothing,186.09,4.19
95,Product_95,Clothing,452.34,0.48
96,Product_96,Beauty,95.56,7.07
97,Product_97,Electronics,91.52,9.35
98,Product_98,Home,375.73,9.15
99,Product_99,Home,142.89,9.96
100,Product_100,Clothing,175.13,3.43
101,Product_101,Grocery,38.7,5.45
102,Product_102,Clothing,196.78,1.49
103,Product_103,Clothing,363.27,7.4
104,Product_104,Grocery,355.23,0.89
105,Product_105,Beauty,414.79,9.1
106,Product_106,Electronics,422.11,0.36
107,Product_107,Beauty,262.2,1.39
108,Product_108,Clothing,189.13,6.39
109,Product_109,Beauty,489.42,9.3
110,Product_110,Grocery,124.44,6.69
111,Product_111,Home,283.29,7.18
112,Product_112,Clothing,17.77,9.52
113,Product_113,Electronics,180.72,8.79
114,Product_114,Home,108.7,3.39
115,Product_115,Clothing,200.47,2.87
116,Product_116,Electronics,490.7,5.36
117,Product_117,Beauty,16.06,4.86
118,Product_118,Clothing,355.19,1.18
119,Product_119,Home,120.42,6.55
120,Product_120,Grocery,480.49,9.16
121,Product_121,Home,143.28,9.37
122,Product_122,Clothing,65.23,8.59
123,Product_123,Clothing,187.5,5.91
124,Product_124,Grocery,130.44,5.81
125,Product_125,Clothing,61.95,2.08
126,Product_126,Grocery,320.91,8.93
127,Product_127,Beauty,6.58,6.28
128,Product_128,Clothing,19.74,9.72
129,Product_129,Home,293.08,9.39
130,Product_130,Electronics,201.64,8.93
131,Product_131,Electronics,286.17,8.7
132,Product_132,Beauty,409.11,0.81
133,Product_133,Beauty,195.06,3.36
134,Product_134,Home,9.79,0.56
135,Product_135,Electronics,451.07,4.98
136,Product_136,Electronics,277.36,3.45
137,Product_137,Beauty,124.07,6.37
138,Product_138,Home,93.72,4.92
139,Product_139,Electronics,349.74,8.28
140,Product_140,Home,115.16,4.01
141,Product_141,Home,257.07,8.99
142,Product_142,Beauty,176.49,2.03
143,Product_143,Clothing,248.2,3.91
144,Product_144,Beauty,149.85,7.68
145,Product_145,Beauty,438.41,8.83
146,Product_146,Electronics,299.06,2.08
147,Product_147,Clothing,404.23,9.28
148,Product_148,Beauty,228.08,6.87
149,Product_149,Home,111.19,7.15
150,Product_150,Clothing,216.59,8.91
151,Product_151,Home,369.64,8.41
152,Product_152,Grocery,436.45,5.97
153,Product_153,Grocery,435.4,1.09
154,Product_154,Home,371.7,6.2
155,Product_155,Electronics,77.89,0.2
156,Product_156,Electronics,404.58,4.04
157,Product_157,Electronics,208.56,4.86
158,Product_158,Beauty,269.42,3.79
159,Product_159,Clothing,287.61,3.48
160,Product_160,Clothing,386.52,8.6
161,Product_161,Home,281.23,3.48
162,Product_162,Electronics,153.38,9.34
163,Product_163,Beauty,307.1,7.33
164,Product_164,Beauty,158.01,6.2
165,Product_165,Grocery,170.69,1.02
166,Product_166,Clothing,474.92,9.71
167,Product_167,Electronics,14.91,4.52
168,Product_168,Grocery,396.27,5.73
169,Product_169,Electronics,466.19,0.49
170,Product_170,Grocery,432.62,5.24
171,Product_171,Electronics,35.49,5.09
172,Product_172,Grocery,171.63,4.43
173,Product_173,Electronics,364.45,5.25
174,Product_174,Beauty,258.78,8.39
175,Product_175,Home,235.77,2.31
176,Product_176,Clothing,66.77,9.74
177,Product_177,Electronics,337.04,0.44
178,Product_178,Grocery,449.89,2.1
179,Product_179,Home,422.57,6.7
180,Product_180,Electronics,348.73,9.87
181,Product_181,Grocery,369.11,6.98
182,Product_182,Home,491.56,6.74
183,Product_183,Home,206.12,9.68
184,Product_184,Clothing,119.59,1.48
185,Product_185,Clothing,236.39,7.73
186,Product_186,Grocery,288.34,5.92
187,Product_187,Home,315.62,7.47
188,Product_188,Electronics,331.07,2.57
189,Product_189,Clothing,23.31,7.61
190,Product_190,Home,387.18,8.06
191,Product_191,Beauty,334.45,9.18
192,Product_192,Grocery,361.57,5.63
193,Product_193,Clothing,271.29,1.17
194,Product_194,Electronics,22.63,8.54
195,Product_195,Grocery,280.71,8.13
196,Product_196,Grocery,372.88,1.22
197,Product_197,Grocery,66.56,9.17
198,Product_198,Electronics,209.69,9.32
199,Product_199,Clothing,355.65,4.07
200,Product_200,Grocery,134.77,7.59
201,Product_201,Clothing,258.09,5.89
202,Product_202,Beauty,174.67,4.22
203,Product_203,Electronics,490.13,3.9
204,Product_204,Beauty,396.2,6.11
205,Product_205,Home,59.11,9.73
206,Product_206,Electronics,353.54,3.21
207,Product_207,Electronics,68.25,3.73
208,Product_208,Home,342.64,0.18
209,Product_209,Clothing,195.24,5.64
210,Product_210,Electronics,366.8,4.14
211,Product_211,Electronics,470.02,8.43
212,Product_212,Grocery,381.28,8.03
213,Product_213,Beauty,343.62,4.2
214,Product_214,Grocery,460.83,6.57
215,Product_215,Grocery,313.01,5.22
216,Product_216,Grocery,256.85,2.61
217,Product_217,Electronics,80.51,3.01
218,Product_218,Clothing,213.29,7.0
219,Product_219,Electronics,9.55,5.78
220,Product_220,Home,58.27,2.85
221,Product_221,Electronics,42.15,4.82
222,Product_222,Clothing,310.77,5.32
223,Product_223,Home,80.53,1.2
224,Product_224,Grocery,133.14,2.11
225,Product_225,Grocery,14.73,7.65
226,Product_226,Clothing,285.61,7.59
227,Product_227,Grocery,413.65,9.52
228,Product_228,Beauty,469.49,4.66
229,Product_229,Electronics,230.52,8.38
230,Product_230,Home,314.06,9.99
231,Product_231,Clothing,376.58,4.71
232,Product_232,Home,478.28,1.87
233,Product_233,Home,76.89,7.46
234,Product_234,Beauty,202.87,4.14
235,Product_235,Electronics,384.75,0.75
236,Product_236,Grocery,495.48,7.29
237,Product_237,Clothing,236.39,7.66
238,Product_238,Beauty,150.48,5.58
239,Product_239,Grocery,254.23,4.59
240,Product_240,Home,98.4,0.58
241,Product_241,Electronics,463.38,5.1
242,Product_242,Grocery,233.81,1.01
243,Product_243,Clothing,358.15,8.94
244,Product_244,Clothing,286.63,4.04
245,Product_245,Home,426.38,6.23
246,Product_246,Home,234.51,3.04
247,Product_247,Grocery,228.88,9.43
248,Product_248,Home,255.64,1.99
249,Product_249,Home,143.22,6.26
250,Product_250,Home,179.65,9.33
251,Product_251,Electronics,208.81,0.99
252,Product_252,Beauty,333.44,3.43
253,Product_253,Electronics,399.66,9.76
254,Product_254,Electronics,218.23,8.58
255,Product_255,Home,170.99,1.33
256,Product_256,Grocery,344.07,9.21
257,Product_257,Electronics,287.88,2.97
258,Product_258,Beauty,440.33,2.83
259,Product_259,Electronics,200.38,8.95
260,Product_260,Home,459.47,6.81
261,Product_261,Home,235.72,1.97
262,Product_262,Electronics,356.94,2.91
263,Product_263,Grocery,168.0,9.29
264,Product_264,Home,165.99,4.96
265,Product_265,Electronics,452.37,3.77
266,Product_266,Beauty,292.77,4.88
267,Product_267,Beauty,347.18,1.28
268,Product_268,Home,430.32,1.75
269,Product_269,Clothing,183.25,8.61
270,Product_270,Beauty,132.23,0.53
271,Product_271,Home,188.99,4.26
272,Product_272,Home,182.96,7.76
273,Product_273,Electronics,193.27,3.62
274,Product_274,Beauty,203.73,1.92
275,Product_275,Home,404.88,5.1
276,Product_276,Electronics,254.66,2.57
277,Product_277,Home,74.18,1.22
278,Product_278,Clothing,178.94,2.9
279,Product_279,Home,273.72,3.6
280,Product_280,Grocery,346.03,3.91
281,Product_281,Electronics,173.96,3.21
282,Product_282,Grocery,463.34,5.09
283,Product_283,Clothing,391.26,3.32
284,Product_284,Electronics,322.24,0.23
285,Product_285,Clothing,440.73,1.4
286,Product_286,Electronics,67.86,7.26
287,Product_287,Beauty,477.19,1.4
288,Product_288,Grocery,174.29,4.34
289,Product_289,Beauty,427.58,1.57
290,Product_290,Clothing,334.81,5.86
291,Product_291,Beauty,336.86,7.7
292,Product_292,Electronics,335.18,2.92
293,Product_293,Clothing,487.59,1.81
294,Product_294,Home,159.06,9.24
295,Product_295,Clothing,366.04,1.6
296,Product_296,Grocery,348.54,6.0
297,Product_297,Beauty,225.21,4.22
298,Product_298,Beauty,310.25,5.76
299,Product_299,Grocery,207.73,4.79
300,Product_300,Grocery,250.81,2.98
301,Product_301,Clothing,287.0,3.94
302,Product_302,Grocery,343.67,1.32
303,Product_303,Electronics,384.8,3.05
