order_id,customer_id,order_date,total_amount,payment_method,shipping_region,status,total_amount
1,892,2024-09-30 22:48:39.689924,0.0,Debit Card,West,Shipped,1642.44
2,830,2025-01-02 22:48:39.689930,0.0,Credit Card,North,Shipped,1549.87
3,793,2025-07-16 22:48:39.689931,0.0,Debit Card,West,Processing,1224.5900000000001
4,697,2024-11-06 22:48:39.689932,0.0,PayPal,South,Processing,1248.97
5,525,2025-03-08 22:48:39.689933,0.0,Credit Card,South,Shipped,2571.27
6,105,2024-11-08 22:48:39.689934,0.0,Bank Transfer,West,Delivered,2523.59
7,477,2025-06-03 22:48:39.689935,0.0,Bank Transfer,North,Shipped,1847.23
8,217,2025-06-24 22:48:39.689936,0.0,PayPal,West,Delivered,2936.64
9,759,2025-04-01 22:48:39.689937,0.0,PayPal,East,Processing,1031.01
10,632,2024-10-24 22:48:39.689938,0.0,Credit Card,East,Delivered,1926.3000000000002
11,62,2025-02-10 22:48:39.689938,0.0,Credit Card,West,Delivered,195.24
12,140,2025-04-01 22:48:39.689939,0.0,Credit Card,East,Processing,1802.72
13,263,2024-12-20 22:48:39.689940,0.0,Credit Card,East,Cancelled,161.32
14,52,2025-01-27 22:48:39.689941,0.0,Credit Card,East,Delivered,209.79000000000002
15,622,2024-10-06 22:48:39.689942,0.0,PayPal,South,Processing,1016.01
16,322,2025-03-03 22:48:39.689942,0.0,Bank Transfer,South,Delivered,3086.1400000000003
17,972,2025-04-30 22:48:39.689943,0.0,Debit Card,West,Delivered,1387.94
18,656,2025-05-03 22:48:39.689944,0.0,Bank Transfer,South,Processing,2347.2000000000003
19,3,2024-07-31 22:48:39.689945,0.0,Credit Card,West,Delivered,1606.62
20,975,2024-08-13 22:48:39.689946,0.0,Credit Card,North,Processing,1119.58
21,327,2025-05-11 22:48:39.689946,0.0,Bank Transfer,South,Delivered,1550.36
22,843,2025-07-07 22:48:39.689947,0.0,PayPal,East,Processing,240.84
23,95,2024-08-06 22:48:39.689948,0.0,Debit Card,North,Processing,1629.81
24,161,2025-04-01 22:48:39.689948,0.0,PayPal,South,Delivered,2211.58
25,570,2025-06-22 22:48:39.689950,0.0,Debit Card,East,Delivered,2072.18
26,847,2024-08-15 22:48:39.689951,0.0,Credit Card,South,Processing,655.46
27,742,2025-05-26 22:48:39.689952,0.0,Credit Card,North,Shipped,907.5799999999999
28,909,2025-03-01 22:48:39.689952,0.0,Debit Card,South,Delivered,864.3199999999999
29,302,2025-03-14 22:48:39.689953,0.0,Credit Card,South,Shipped,2271.2400000000002
30,619,2024-11-19 22:48:39.689954,0.0,Credit Card,East,Delivered,4523.1900000000005
31,783,2025-07-18 22:48:39.689955,0.0,PayPal,East,Delivered,71.97
32,470,2025-06-28 22:48:39.689955,0.0,Credit Card,South,Processing,1133.56
33,493,2025-02-10 22:48:39.689956,0.0,PayPal,South,Processing,310.51
34,190,2025-06-22 22:48:39.689957,0.0,Credit Card,South,Delivered,1309.87
35,837,2024-09-10 22:48:39.689958,0.0,Bank Transfer,East,Shipped,3131.4
36,652,2024-09-18 22:48:39.689958,0.0,Debit Card,West,Processing,1048.75
37,69,2024-11-05 22:48:39.689959,0.0,Credit Card,West,Delivered,3870.46
38,304,2024-09-20 22:48:39.689960,0.0,Debit Card,West,Delivered,377.98
39,404,2025-01-19 22:48:39.689961,0.0,Bank Transfer,East,Delivered,1268.3
40,879,2024-11-12 22:48:39.689962,0.0,PayPal,North,Processing,2486.93
41,521,2025-07-14 22:48:39.689962,0.0,Debit Card,North,Shipped,1671.17
42,616,2025-05-30 22:48:39.689963,0.0,PayPal,West,Shipped,1240.17
43,875,2024-12-08 22:48:39.689964,0.0,Bank Transfer,East,Delivered,44.19
44,414,2025-02-11 22:48:39.689965,0.0,Debit Card,North,Processing,3636.75
45,379,2024-09-15 22:48:39.689965,0.0,Bank Transfer,North,Processing,1863.92
46,354,2024-10-07 22:48:39.689966,0.0,Debit Card,South,Delivered,2434.24
47,743,2025-01-26 22:48:39.689967,0.0,Bank Transfer,East,Processing,404.58
48,407,2025-07-05 22:48:39.689968,0.0,Debit Card,North,Delivered,2291.24
49,990,2025-01-14 22:48:39.689968,0.0,Debit Card,West,Shipped,3593.6400000000003
50,625,2025-05-19 22:48:39.689969,0.0,Debit Card,East,Delivered,2099.6800000000003
51,89,2025-01-28 22:48:39.689970,0.0,Debit Card,West,Delivered,702.96
52,27,2025-02-16 22:48:39.689970,0.0,Debit Card,North,Processing,2023.83
53,984,2024-12-20 22:48:39.689971,0.0,Bank Transfer,South,Shipped,590.34
54,382,2024-12-08 22:48:39.689972,0.0,Credit Card,South,Delivered,1585.52
55,506,2025-03-30 22:48:39.689973,0.0,PayPal,East,Delivered,2063.79
56,987,2024-10-28 22:48:39.689973,0.0,Bank Transfer,South,Shipped,2081.8599999999997
57,380,2024-11-16 22:48:39.689974,0.0,PayPal,West,Shipped,522.87
58,785,2025-03-15 22:48:39.689975,0.0,Credit Card,South,Delivered,1230.2
59,465,2025-06-05 22:48:39.689976,0.0,Credit Card,North,Shipped,2058.51
60,495,2024-10-02 22:48:39.689976,0.0,PayPal,West,Processing,3069.51
61,854,2025-02-25 22:48:39.689977,0.0,Credit Card,South,Delivered,782.64
62,995,2024-11-10 22:48:39.689978,0.0,Bank Transfer,North,Delivered,1709.0
63,79,2025-04-07 22:48:39.689979,0.0,Bank Transfer,West,Delivered,336.86
64,510,2025-04-08 22:48:39.689980,0.0,Credit Card,North,Delivered,1804.96
65,83,2024-10-09 22:48:39.689980,0.0,PayPal,West,Cancelled,613.96
66,336,2025-01-17 22:48:39.689981,0.0,Debit Card,West,Delivered,912.5600000000001
67,699,2025-03-03 22:48:39.689982,0.0,Credit Card,West,Shipped,1935.84
68,754,2024-11-01 22:48:39.689982,0.0,Bank Transfer,East,Delivered,1137.45
69,226,2025-02-17 22:48:39.689983,0.0,PayPal,West,Processing,735.37
70,791,2024-12-13 22:48:39.689984,0.0,Bank Transfer,West,Delivered,4276.09
71,974,2024-12-31 22:48:39.689985,0.0,Debit Card,South,Delivered,1176.28
72,334,2024-10-26 22:48:39.689986,0.0,Credit Card,South,Delivered,605.99
73,522,2024-09-24 22:48:39.689986,0.0,Debit Card,North,Delivered,566.97
74,663,2024-09-29 22:48:39.689987,0.0,PayPal,East,Delivered,2529.62
75,190,2025-06-16 22:48:39.689988,0.0,Bank Transfer,South,Delivered,2464.35
76,565,2025-01-04 22:48:39.689989,0.0,Bank Transfer,East,Delivered,2649.72
77,595,2024-08-20 22:48:39.689989,0.0,PayPal,West,Processing,4282.66
78,117,2025-06-05 22:48:39.689990,0.0,Bank Transfer,South,Delivered,1832.8600000000001
79,281,2025-04-21 22:48:39.689991,0.0,Credit Card,West,Shipped,206.54
80,44,2025-02-01 22:48:39.689992,0.0,Credit Card,North,Delivered,370.38
81,746,2024-09-17 22:48:39.689992,0.0,Debit Card,West,Cancelled,809.16
82,744,2024-10-30 22:48:39.689993,0.0,PayPal,East,Shipped,2360.39
83,775,2024-12-17 22:48:39.689994,0.0,PayPal,South,Cancelled,2158.67
84,374,2024-09-15 22:48:39.689995,0.0,Bank Transfer,North,Processing,1377.64
85,745,2024-12-18 22:48:39.689996,0.0,Credit Card,West,Processing,1973.6
86,205,2025-02-06 22:48:39.689996,0.0,Bank Transfer,East,Shipped,1964.7800000000002
87,386,2024-12-29 22:48:39.689997,0.0,Bank Transfer,South,Delivered,1250.24
88,882,2024-08-05 22:48:39.689998,0.0,Bank Transfer,West,Shipped,242.26
89,752,2025-03-29 22:48:39.689999,0.0,Debit Card,South,Shipped,1492.53
90,629,2025-03-24 22:48:39.689999,0.0,Debit Card,East,Delivered,1211.52
